,SCHOOL,SCHOOL LEVEL*, PEER INDEX* ,GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,PERFORMANCE CATEGORY SCORE,PROGRESS CATEGORY SCORE,ADDITIONAL CREDIT,QUALITY REVIEW SCORE,Enrollment,Student-Teacher Ratio,Free-Reduced Lunch
218,PS 049 WILLIS AVE,Elementary School, 80.53 ,B,54.06,0.422,0.457,0.591,1.5,Proficient,660,10.9,97
219,PS 065 MOTHER HALE ACADEMY,Elementary School, 79.68 ,C,44.74,0.392,0.283,0.525,1.5,Undeveloped,393,11.5,98
220,PS 154 JONATHAN D HYATT,Elementary School, 82.55 ,B,59.49,0.326,0.547,0.613,4.5,Proficient,370,10.8,97.8
221,PS 157 GROVE HILL,Elementary School, 74.52 ,A,77.38,0.424,0.478,0.894,7.5,Proficient,646,11.5,96
222,PS 161 PONCE DE LEON,Elementary School, 78.13 ,A,66.66,0.695,0.529,0.652,4.5,Well-Developed,519,12.9,95.8
223,PS 179,Elementary School, 80.31 ,F,30.9,0.881,0.529,0.033,0,Well-Developed,329,11.3,96.7
224,PS 277,Elementary School, 72.10 ,D,31.06,0.341,0.129,0.347,3,Proficient,484,12.0,92.8
225,PS/MS 029 MELROSE SCHOOL,K-8 School, 78.76 ,D,36.24,0.323,0.293,0.37,2.25,Proficient,788,12.7,92.8
226,PS/MS 031 THE WILLIAM LLOYD GARRISON,K-8 School, 73.62 ,C,42.08,0.544,0.475,0.344,0.75,Proficient,698,13.4,91.1
227,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,Middle School, 2.63 ,A,68.02,0.366,0.42,0.744,9,Proficient,249,10.8,93.2
228,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,Middle School, 3.00 ,B,61.72,0.639,0.605,0.536,4.5,Proficient,661,13.2,97
229,UNIVERSITY HEIGHTS SECONDARY SCHOOL AT BRONX COMMU,High School, 2.64 ,A,74.39,0.75,0.572,0.618,12,Well-Developed,486,20.2,87.2
230,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,Middle School, 3.03 ,B,57.36,0.926,0.443,0.549,0,Well-Developed,644,13.4,85.4
231,HERBERT LEHMAN HIGH SCHOOL,High School, 2.61 ,B,49.67,0.453,0.45,0.534,0,Proficient,725,12.0,81
