,SCHOOL,SCHOOL LEVEL*, PEER INDEX* ,GRADE,OVERALL SCORE,ENVIRONMENT CATEGORY SCORE,PERFORMANCE CATEGORY SCORE,PROGRESS CATEGORY SCORE,ADDITIONAL CREDIT,QUALITY REVIEW SCORE,Enrollment,Student-Teacher Ratio,Free-Reduced Lunch
46,LEGACY SCHOOL FOR INTEGRATED STUDIES,High School, 2.46 ,F,26,0.421,0.145,0.279,0,Undeveloped,391,14.4,79.8
47,LIFE SCIENCES SECONDARY SCHOOL,High School, 2.71 ,B,58.47,0.401,0.659,0.54,3,Proficient,573,13.6,81.8
48,LIFE SCIENCES SECONDARY SCHOOL,Middle School, 3.41 ,D,38.81,0.432,0.412,0.363,0,Proficient,387,15.8,10.6
49,M S 131,Middle School, 3.30 ,B,55.96,0.632,0.52,0.534,1.5,Well-Developed,513,17.6,82.8
50,MANHATTAN BRIDGES HIGH SCHOOL,High School, 2.16 ,A,104.4,0.82,0.764,1.148,6,Well-Developed,587,15.4,92.8
51,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,Transfer School, NA ,B,44.42,0.470,0.492,0.411,0,Well-Developed,335,15.7,84.8
52,MANHATTAN INTERNATIONAL HIGH SCHOOL,High School, 2.75 ,B,62.82,0.823,0.397,0.674,1.5,Proficient,455,16.8,77.6
53,MANHATTAN VILLAGE ACADEMY,High School, 2.94 ,A,82.9,0.8,0.696,0.8,6,Well-Developed,431,11.9,93.3
54,MILLENNIUM HIGH SCHOOL,High School, 3.33 ,B,66.69,0.821,0.685,0.56,3,Proficient,668,17.5,46.7
55,MS 260 CLINTON SCHL WRITERS &,Middle School, 3.53 ,A,79.63,0.639,0.93,0.684,4.5,Undeveloped,264,10.9,77.3
56,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,High School, 2.75 ,C,47,0.280,0.527,0.491,0,Proficient,554,17.3,38.6
57,NYC LAB MS FOR COLLABORATIVE STUDIES,Middle School, 4.03 ,A,69.8,0.598,0.921,0.604,0,Proficient,420,10.7,80.2
58,NYC LAB SCHOOL FOR COLLABORATIVE STUDIES,High School, 3.61 ,A,72.36,0.576,0.896,0.616,3,Proficient,496,13.0,29.4
59,NYC MUSEUM SCHOOL,High School, 2.93 ,A,72.74,0.437,0.826,0.644,6,Proficient,448,18.6,66.3
60,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,High School, 3.25 ,B,57.89,0.709,0.612,0.526,0,Proficient,318,9.6,78.9
61,PS 001 ALFRED E SMITH,Elementary School, 46.28 ,C,47.96,0.399,0.691,0.386,0,Well-Developed,550,11.2,96.5
62,PS 002 MEYER LONDON,Elementary School, 47.08 ,B,58.5,0.456,0.619,0.588,0.75,Well-Developed,753,15.0,21.4
63,PS 003 CHARRETTE SCHOOL,Elementary School, 18.47 ,B,55.51,0.655,0.459,0.58,0,Well-Developed,688,17.1,11.3
64,PS 006 LILLIE D. BLAKE,Elementary School, 8.71 ,B,63.31,0.509,0.684,0.585,3,Proficient,920,15.8,29.5
65,PS 011 WILLIAM T HARRIS,Elementary School, 51.23 ,C,43.9,0.657,0.477,0.345,0.75,Well-Developed,628,16.0,46.3
66,PS 033 CHELSEA PREP,Elementary School, 66.16 ,F,19.95,0.505,0.681,-0.146,0,Well-Developed,679,16.5,9.6
67,PS 040 AUGUSTUS ST-GAUDENS,Elementary School, 14.59 ,A,64.11,0.618,0.663,0.595,2.25,Well-Developed,692,15.0,9
68,PS 041 GREENWICH VILLAGE,Elementary School, 12.54 ,B,58.63,0.73,0.716,0.476,0,Well-Developed,655,14.2,75.6
69,PS 042 BENJAMIN ALTMAN,Elementary School, 43.44 ,B,50.21,0.743,0.771,0.29,0,Well-Developed,457,14.7,59.1
70,PS 051 ELIAS HOWE,Elementary School, 57.73 ,B,63.14,0.812,0.608,0.581,0.75,Well-Developed,611,16.0,9.3
71,PS 059 BEEKMAN HILL INTL,Elementary School, 22.44 ,B,60.25,0.654,0.683,0.545,0,Well-Developed,390,11.4,61.3
72,PS 111 ADOLPH S OCHS,K-8 School, 60.92 ,A,66.15,0.428,0.41,0.753,6,Proficient,545,13.6,34.9
73,PS 116 MARY LINDLEY MURRAY,Elementary School, 23.39 ,A,73.96,0.75,0.91,0.644,0,Well-Developed,725,15.1,55
74,PS 124 YUNG WING,Elementary School, 30.40 ,A,65.44,0.698,0.844,0.525,0.75,Well-Developed,783,13.7,79.7
75,PS 126 JACOB AUGUST RIIS,K-8 School, 51.55 ,C,48.5,0.555,0.6,0.39,0.75,Proficient,912,16.2,47.9
76,PS 130 HERNANDO DESOTO,Elementary School, 32.61 ,A,71.04,0.809,0.733,0.631,2.25,Well-Developed,188,15.6,11.7
77,PS 150,Elementary School, 16.48 ,C,44.1,0.69,0.741,0.21,0,Well-Developed,787,17.0,11.8
78,PS 158 BAYARD TAYLOR,Elementary School, 20.33 ,B,59.15,0.47,0.697,0.512,3,Well-Developed,589,15.4,11.2
79,PS 183 ROBERT L STEVENSON,Elementary School, 17.94 ,A,64.65,0.558,0.45,0.764,0.75,Proficient,461,12.8,38
80,PS 198 ISADOR E IDA STRAUS,Elementary School, 47.19 ,C,45.45,0.134,0.386,0.525,3,Proficient,368,20.4,22.3
81,PS 212 MIDTOWN WEST,Elementary School, 30.20 ,A,65.2,0.951,0.392,0.603,6,Well-Developed,621,14.7,34.3
82,PS 217/IS 217 ROOSEVELT IS.,K-8 School, 43.59 ,B,58.95,0.558,0.486,0.586,3.75,Undeveloped,642,14.5,9.8
83,PS 234 INDEPENDENCE SCHOOL,Elementary School, 8.87 ,B,52.73,0.702,0.75,0.359,0,Proficient,628,14.9,11.6
84,PS 290 MANHATTAN NEW SCHOOL,Elementary School, 12.21 ,A,73.01,0.753,0.727,0.671,3,Well-Developed,357,22.3,5.6
85,PS 77 LOWER LAB SCHOOL,Elementary School, 12.97 ,A,74.08,0.564,0.894,0.706,0,Well-Developed,432,14.4,19.7
86,PS 89,Elementary School, 13.91 ,C,42.29,0.571,0.61,0.28,0,Well-Developed,562,19.3,37.2
87,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,High School, 2.71 ,B,62.66,0.666,0.53,0.641,1.5,Proficient,242,15.1,69.4
88,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,High School, 2.62 ,B,49.33,0.398,0.558,0.457,1.5,Proficient,502,14.7,84.3
89,SATELLITE ACADEMY HIGH SCHOOL,Transfer School, NA ,B,44.10,0.661,0.431,0.373,0.75,Proficient,291,22.3,75.9
90,SCHOOL OF THE FUTURE HIGH SCHOOL,Middle School, 3.55 ,B,59.73,0.762,0.616,0.501,2.25,Well-Developed,744,15.1,38.7
91,STUYVESANT HIGH SCHOOL,High School, 4.06 ,A,75.1,0.52,0.907,0.583,8,Proficient,"3,334",21.7,45.6
92,TALENT UNLIMITED HIGH SCHOOL,High School, 3.11 ,B,63,0.500,0.697,0.630,0,Well-Developed,195,4.7,61.5
93,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHO,Elementary School, 58.68 ,C,45.55,0.31,-0.1,0.785,0.75,Well-Developed,"1,601",15.8,83.1
94,THE HIGH SCHOOL OF FASHION INDUSTRIES,High School, 2.87 ,A,81.99,0.514,0.675,0.764,12,Well-Developed,480,14.5,55
95,UNITY CENTER FOR URBAN TECHNOLOGIES,High School, 2.41 ,C,46.08,0.511,0.471,0.442,0,Proficient,250,19.2,90.8
96,URBAN ACADEMY LABORATORY HIGH SCHOOL,Transfer School, NA ,A,92.78,1.026,1.135,0.760,1.5,Well-Developed,162,11.5,59.3
97,VANGUARD HIGH SCHOOL,High School, 2.47 ,B,66.42,0.857,0.523,0.471,12,Well-Developed,451,14.0,80.7
98,BEACON HIGH SCHOOL,High School, 3.44 ,B,62.72,0.827,0.602,0.532,3,Well-Developed,"1,380",22.5,25.3
99,EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,Transfer School, NA ,B,43.55,0.390,0.730,0.260,1.5,Proficient,408,12.4,98
100,FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART A,High School, 3.62 ,A,73.88,0.533,0.923,0.695,0,Well-Developed,355,12.2,81.1
101,FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,High School, 2.78 ,B,58.69,0.34,0.828,0.523,0,Proficient,435,14.9,81.6
102,"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTIC",High School, 2.53 ,C,35.15,0.316,0.276,0.321,4.5,Proficient,462,13.5,88.7
103,HIGH SCHOOL OF ARTS AND TECHNOLOGY,High School, 2.58 ,B,57.92,0.288,0.309,0.615,10.5,Proficient,504,15.7,83.9
104,JHS 054 B00KER T.WASHINGTON,Middle School, 3.58 ,A,72.12,0.391,0.678,0.657,9.75,Proficient,851,17.3,23.9
105,MANHATTAN/HUNTER SCIENCE HIGH SCHOOL,High School, 3.24 ,A,69.65,0.658,0.736,0.685,0,Proficient,441,17.6,61.5
106,MOTT HALL II,Middle School, 3.60 ,C,50.15,0.817,0.718,0.297,0,Well-Developed,235,15.6,12.3
107,MS 243 CENTER SCHOOL,Middle School, 3.83 ,D,38.37,0.745,0.694,0.116,0,Well-Developed,400,14.8,27.8
108,MS 245M THE COMPUTER SCHOOL,Middle School, 3.54 ,B,61.43,0.868,0.586,0.519,2.25,Well-Developed,198,9.9,92.9
109,MS 247M DUAL LANGUAGE MID. SCH,Middle School, 2.95 ,A,68.24,0.867,0.708,0.618,0,Well-Developed,180,10.5,71.7
110,MS 250 WEST SIDE COLLAB. M.S.,Middle School, 3.07 ,A,82.19,0.83,0.838,0.688,6.75,Well-Developed,222,10.0,76.6
111,MS 258 COMMUNITY ACTION SCHL.,Middle School, 3.02 ,A,92.44,0.796,0.748,0.933,6.75,Proficient,341,17.9,61.6
112,PS 009 SARAH ANDERSON,Elementary School, 30.68 ,A,83.36,0.639,0.786,0.899,0.75,Well-Developed,618,15.8,20.9
113,PS 075 EMILY DICKINSON,Elementary School, 56.91 ,B,61.23,0.407,0.532,0.617,5.25,Proficient,562,7.4,73.3
114,PS 076 A. PHILIP RANDOLPH,Elementary School, 73.53 ,C,42.53,0.24,0.308,0.54,0,Undeveloped,454,15.6,96.5
115,PS 084 LILLIAN WEBER,Elementary School, 68.37 ,C,42.78,0.336,0.463,0.42,0.75,Proficient,648,12.9,41
116,PS 087 WILLIAM SHERMAN,Elementary School, 25.05 ,B,52.79,0.389,0.606,0.523,0,Proficient,881,13.9,11.7
117,"PS 145, THE BLOOMINGDALE SCHOOL",Elementary School, 71.38 ,B,55.54,0.365,0.316,0.724,0.75,Proficient,381,10.5,80.6
118,PS 149 SOJOURNER TRUTH,K-8 School, 73.02 ,C,46.99,0.555,0.215,0.518,3.75,Proficient,303,6.3,97.5
119,PS 163 ALFRED E SMITH,Elementary School, 52.64 ,B,50.82,0.294,0.445,0.546,3,Well-Developed,563,13.0,48
120,PS 165 ROBERT E SIMON,Elementary School, 69.67 ,A,72.5,0.311,0.458,0.874,6,Proficient,600,11.7,71.3
121,PS 166 THE RICHARD RODGERS SCHOOL OF THE ARTS AND,Elementary School, 32.35 ,C,48.4,0.348,0.55,0.471,0.75,Well-Developed,649,15.4,20.2
122,PS 180 HUGO NEWMAN,Elementary School, 70.64 ,A,72.45,0.819,0.657,0.681,3,Well-Developed,548,11.9,71.9
123,PS 199 JESSIE ISADOR STRAUS,Elementary School, 13.80 ,A,72.93,0.613,0.706,0.733,2.25,Well-Developed,755,15.0,18
124,PS 333 MANHATTAN SCHOOL FOR CHILDREN,K-8 School, 27.14 ,A,74.32,0.7,0.579,0.708,7.5,Proficient,851,15.4,10.3
125,THE ANDERSON SCHOOL,K-8 School, 10.20 ,A,64.74,0.867,1.052,0.367,0,Well-Developed,539,19.2,8.3
126,WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VIS,High School, 2.42 ,A,78.77,0.497,0.715,0.743,9,Proficient,273,8.2,81.7
127,CENTRAL PARK EAST I,Elementary School, 49.80 ,D,36.77,0.695,-0.109,0.538,0,Proficient,200,14.2,42
128,CENTRAL PARK EAST II,Elementary School, 60.89 ,B,50.19,0.749,0.15,0.626,0,Proficient,445,13.4,42.5
129,CENTRAL PARK EAST SECONDARY HIGH SCHOOL,High School, 2.35 ,B,49.02,0.483,0.39,0.438,6,Proficient,493,17.0,83.2
130,ISAAC NEWTON JHS FOR SCIENCE & MATH,Middle School, 3.20 ,D,32.1,0.642,0.4,0.176,0.75,Undeveloped,192,11.9,91.1
131,JAMES WELDON JOHNSON,K-8 School, 74.18 ,B,55.52,0.852,0.691,0.386,0.75,Proficient,803,12.3,88.8
132,MANHATTAN CENTER FOR SCIENCE AND MATHEMATICS,High School, 3.23 ,A,67.6,0.461,0.501,0.639,10.5,Proficient,"1,627",20.8,85.2
133,MS 224 MANH. E.SCHOOL. ARTS&ACAD,Middle School, 3.65 ,C,46.4,0.446,0.581,0.405,0,Proficient,174,13.3,74.1
134,PARK EAST HIGH SCHOOL,High School, 2.44 ,B,62.57,0.491,0.698,0.541,4.5,Proficient,400,13.3,84.5
135,PS 007 SAMUEL STERN,K-8 School, 77.54 ,F,29.35,0.612,0.467,0.112,0,Proficient,356,11.4,91
136,PS 083 LUIS MUNOZ RIVERA,Elementary School, 75.47 ,B,51.52,0.695,0.928,0.227,0.75,Well-Developed,433,13.9,89.4
137,PS 096 JOSEPH LANZETTA,K-8 School, 80.27 ,B,59.62,0.559,0.59,0.583,1.5,Proficient,398,11.0,93.5
138,PS 102 JACQUES CARTIER,Elementary School, 79.90 ,C,44.36,0.723,0.617,0.273,0,Proficient,314,10.4,81.5
139,PS 108 ASSMBLY ANGELO DEL TORO,K-8 School, 77.21 ,A,77.64,0.78,0.799,0.572,10.5,Well-Developed,448,10.9,89.3
140,PS 146 ANN M SHORT,Elementary School, 81.63 ,C,43.16,0.382,0.397,0.464,0,Proficient,334,10.7,97.9
141,PS 155 WILLIAM PACA,Elementary School, 85.16 ,A,66.25,0.633,0.522,0.693,3,Well-Developed,260,11.8,97.7
142,PS 171 PATRICK HENRY,K-8 School, 71.57 ,A,67.95,0.63,0.849,0.492,6,Well-Developed,722,16.0,69.3
143,PS 206 JOSE CELSO BABOSA,Elementary School, 79.63 ,D,37.38,0.325,0.47,0.335,0,Proficient,465,6.4,84.3
144,PS 38 ROBERTO CLEMENTE,Elementary School, 71.97 ,C,42.68,0.119,0.269,0.583,0.75,Proficient,217,12.7,92.6
145,RIVER EAST ELEMENTARY,Elementary School, 64.28 ,B,55.32,0.259,0.175,0.84,0,Proficient,189,9.4,87.3
146,TAG YOUNG SCHOLARS,K-8 School, 56.07 ,B,58.96,0.725,0.953,0.355,0,Proficient,576,23.9,41
147,THE BILINGUAL BICULTURAL SCHL,Elementary School, 81.66 ,A,67.53,0.869,1.054,0.348,3.75,Well-Developed,312,11.1,97.4
148,THE HERITAGE SCHOOL,High School, 2.48 ,A,69.83,0.499,0.752,0.587,7.5,Undeveloped,297,14.3,92.3
149,YOUNG WOMEN'S LEADERSHIP SCHOOL,High School, 3.03 ,A,70.05,0.822,0.828,0.598,0,Well-Developed,483,15.8,80.7
150,FREDERICK DOUGLASS ACADEMY,High School, 3.12 ,B,59.49,0.434,0.806,0.524,0,Well-Developed,"1,360",18.2,76.4
151,NEW DESIGN HIGH SCHOOL,High School, 2.66 ,B,60.69,0.719,0.601,0.416,9,Proficient,128,8.5,91.4
152,PS 030 HERNANDEZ/HUGHES,Elementary School, 71.28 ,A,76.26,0.536,0.458,0.868,6.75,Proficient,250,6.9,94
153,PS 046 ARTHUR TAPPAN,Elementary School, 80.93 ,A,70.04,0.367,0.527,0.791,5.25,Well-Developed,663,11.8,94
154,PS 092 MARY MCLEOD BETHUNE,Elementary School, 78.63 ,C,49.46,0.468,0.418,0.489,3,Proficient,263,10.5,98.9
155,PS 123 MAHALIA JACKSON,Elementary School, 73.13 ,B,59.1,0.305,0.305,0.73,5.25,Well-Developed,477,10.6,95.4
156,PS 125 RALPH BUNCHE,Elementary School, 73.91 ,C,42.3,0.066,0.331,0.571,0,Proficient,299,14.2,67.9
157,PS 129 JOHN H FINLEY,Elementary School, 70.32 ,A,65.07,0.488,0.381,0.733,6,Proficient,439,11.2,92.7
158,PS 133 FRED R MOORE,Elementary School, 74.63 ,C,41.36,0.327,0.265,0.464,3,Well-Developed,212,9.2,93.4
159,PS 154 HARRIET TUBMAN,Elementary School, 76.23 ,C,49.32,0.358,0.415,0.559,0.75,Proficient,293,12.7,98.3
160,PS 161 PEDRO ALBIZU CAMPOS,Elementary School, 82.55 ,B,56.63,0.814,0.599,0.454,1.5,Proficient,827,12.3,96.6
161,PS 175 HENRY H GARNET,Elementary School, 70.48 ,B,57.74,0.328,0.364,0.735,1.5,Well-Developed,319,12.2,95.9
162,PS 194 COUNTEE CULLEN,Elementary School, 73.24 ,F,22.77,0.042,0.242,0.271,0,Proficient,231,10.9,97
163,PS 197 JOHN B RUSSWURM,Elementary School, 69.97 ,B,54.37,0.253,0.382,0.602,6,Well-Developed,307,11.8,93.5
164,PS 200- THE JAMES McCUNE SMITH SCHOOL,Elementary School, 68.95 ,B,60.35,0.255,0.199,0.81,6,Proficient,390,10.2,91.3
165,Thurgood Marshall Academy For Learning & Social Change,High School, 2.74 ,B,57.84,0.709,0.576,0.544,0,Proficient,534,14.8,74.3
166,Thurgood Marshall Academy Lower School,Middle School, 3.29 ,C,49.04,0.739,0.506,0.4,0.75,Proficient,222,13.0,86
167,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,High School, 2.89 ,B,49.5,0.301,0.56,0.485,1.5,Proficient,"1,379",17.9,85.9
168,AMISTAD DUAL LANGUAGE SCHOOL,K-8 School, 67.81 ,A,75.73,0.759,0.677,0.732,3.75,Well-Developed,391,13.9,80.6
169,CITY COLLEGE ACADEMY OF THE ARTS,Middle School, 2.98 ,B,54.7,0.981,0.587,0.407,0,Proficient,600,15.0,83
170,GREGORIO LUPERON HIGH SCHOOL FOR SCIENCE AND MATHE,High School, 2.04 ,A,71.08,0.743,0.657,0.677,3,Proficient,522,19.3,98.9
171,HARBOR HEIGHTS,Middle School, 1.72 ,C,42.7,0.768,0.006,0.55,0.75,Proficient,129,12.9,100
172,HIGH SCHOOL FOR HEALTH CAREERS AND SCIENCES,High School, 2.38 ,A,75.3,0.651,0.593,0.704,9,Well-Developed,461,12.4,96.7
173,HIGH SCHOOL FOR LAW AND PUBLIC SERVICE,High School, 2.46 ,A,75.1,0.732,0.779,0.741,0,Well-Developed,540,15.4,89.1
174,HIGH SCHOOL FOR MEDIA AND COMMUNICATIONS,High School, 2.40 ,A,69.17,0.601,0.768,0.62,3,Well-Developed,404,18.1,95.5
175,I S 223 MOTT HALL,K-8 School, 60.30 ,A,70.84,0.955,1.122,0.415,0,Proficient,292,13.2,80.8
176,I.S. 528 BEA FULLER RODGERS SCHOOL,Middle School, 3.05 ,B,54.33,0.772,0.716,0.319,3.75,Well-Developed,226,13.9,96
177,JHS 052 INWOOD,Middle School, 3.06 ,B,57.4,0.484,0.57,0.56,2.25,Proficient,371,13.4,95.7
178,JHS 143 ELEANOR ROOSEVELT,Middle School, 2.90 ,C,48.01,0.666,0.541,0.396,0,Proficient,263,10.1,89
179,MIDDLE SCHOOL 322,Middle School, 2.79 ,B,57.97,0.353,0.417,0.689,2.25,Proficient,421,14.0,98.8
180,MS 319 - MARIA TERESA,Middle School, 2.76 ,A,82.06,0.829,0.748,0.735,6.75,Well-Developed,392,11.1,91.1
181,MS 324 - PATRIA,Middle School, 2.75 ,A,78.55,1.035,0.65,0.655,7.5,Proficient,302,10.7,95
182,MUSCOTA,Elementary School, 50.68 ,F,29.38,0.292,0.081,0.41,0,Proficient,292,13.2,26.4
183,PS 004 DUKE ELLINGTON,Elementary School, 82.30 ,B,60.9,0.599,0.287,0.76,1.5,Proficient,560,13.6,84.6
184,PS 005 ELLEN LURIE,Elementary School, 80.98 ,B,54.97,0.698,0.621,0.47,0,Well-Developed,593,13.4,85
185,PS 008 LUIS BELLIARD,Elementary School, 82.37 ,C,49.72,0.636,0.283,0.562,0.75,Proficient,527,11.9,96.8
186,PS 018 PARK TERRACE,K-8 School, 80.15 ,B,58.67,0.63,0.187,0.738,3,Proficient,349,12.2,92.6
187,PS 028 WRIGHT BROTHERS,Elementary School, 77.33 ,C,48.15,0.506,0.354,0.503,2.25,Well-Developed,668,11.9,92.8
188,PS 048 PO MICHAEL J. BUCZEK,Elementary School, 79.75 ,B,63.22,0.585,0.312,0.793,1.5,Proficient,547,10.1,94.9
189,PS 098 SHORAC KAPPOCK,Elementary School, 85.51 ,C,43.43,0.288,0.613,0.376,0,Proficient,461,11.8,90.2
190,PS 115 ALEXANDER HUMBOLDT,Elementary School, 76.57 ,B,51.5,0.568,0.309,0.545,3.75,Proficient,477,13.2,96.4
191,PS 128 AUDUBON,Elementary School, 79.27 ,B,59.96,0.686,0.427,0.629,2.25,Proficient,585,13.0,92.5
192,PS 132 JUAN PABLO DUARTE,Elementary School, 84.38 ,B,50.45,0.389,0.444,0.514,3,Proficient,303,9.4,87.1
193,PS 152 DYCKMAN VALLEY,Elementary School, 74.69 ,B,58.03,0.471,0.483,0.595,3.75,Proficient,574,12.7,97.4
194,PS 153 ADAM CLAYTON POWELL,Elementary School, 80.88 ,A,72.4,0.549,0.512,0.669,12,Well-Developed,590,14.3,92
195,PS 173,Elementary School, 72.73 ,B,55.13,0.266,0.369,0.674,3,Proficient,484,13.4,89.9
196,PS 187 HUDSON CLIFFS,K-8 School, 55.73 ,B,55.74,0.787,0.634,0.453,0,Well-Developed,794,15.5,42.7
197,PS 189,Elementary School, 83.51 ,C,48.57,0.685,0.537,0.403,0,Proficient,810,13.6,92.6
198,PS 192 JACOB H SCHIFF,Elementary School, 82.80 ,B,55.5,0.504,0.209,0.731,1.5,Proficient,442,11.9,94.1
199,"PS 210, 21ST CENT ACAD",K-8 School, 83.72 ,C,42.24,1.031,0.354,0.294,0,Proficient,421,13.1,91.7
200,ACADEMY OF APPLIED MATHEMATICS AND TECHNOLOGY,Middle School, 2.76 ,A,78.08,0.834,0.633,0.738,6,Proficient,301,15.0,96.3
201,ACADEMY OF PUBLIC RELATIONS,Middle School, 2.68 ,A,68.61,0.634,0.482,0.743,3.75,Proficient,248,11.2,91.1
202,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIG,High School, 2.34 ,C,37.31,0.194,0.38,0.418,0,Proficient,461,12.7,93.3
203,BRONX ACADEMY OF LETTERS,High School, 2.74 ,A,85.38,0.791,0.952,0.654,9,Well-Developed,595,10.4,90.4
204,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,High School, 2.62 ,B,53.93,0.267,0.83,0.455,0,Proficient,506,13.2,95.5
205,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,High School, 2.55 ,C,45.7,0.419,0.406,0.277,12,Well-Developed,339,14.7,92
206,HEALTH OPPORTUNITIES HIGH SCHOOL,High School, 2.60 ,C,41.88,0.391,0.523,0.37,0,Proficient,495,15.9,85.7
207,HOSTOS-LINCOLN ACADEMY OF SCIENCE,High School, 3.08 ,B,53.32,0.339,0.631,0.533,0,Proficient,504,15.2,85.9
208,JHS 151 LOU GEHRIG,Middle School, 2.65 ,B,62.89,0.402,0.458,0.702,4.5,Proficient,254,12.6,98.8
209,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,High School, 2.43 ,A,67.67,0.683,0.682,0.59,4.5,Proficient,685,13.7,97.4
210,MS 223/THE LABORATORY SCHOOL OF FINANCE AND TECHNO,Middle School, 2.94 ,B,63.23,0.652,0.482,0.6,6,Proficient,354,12.2,92.7
211,P.S./I.S. 224,Middle School, 2.66 ,D,31.27,0.188,0.294,0.344,0.75,Undeveloped,358,12.7,98.9
212,PS 001 COURTLANDT SCHOOL,Elementary School, 82.49 ,D,34.36,0.27,0.329,0.372,0,Undeveloped,665,16.2,98.3
213,PS 005 PORT MORRIS,Elementary School, 78.52 ,B,54.95,0.557,0.58,0.517,0.75,Well-Developed,719,13.5,95.7
214,PS 018 JOHN PETER ZENGER,Elementary School, 74.42 ,D,33.98,0.437,0.326,0.321,0,Well-Developed,598,12.4,97.8
215,PS 025 BILINGUAL SCHOOL,K-8 School, 82.25 ,C,41.05,0.34,0.255,0.514,0,Proficient,533,12.6,94.9
216,PS 030 WILTON,Elementary School, 80.35 ,C,42.75,0.683,0.228,0.453,0.75,Proficient,553,13.1,91.7
217,PS 043 JONAS BRONCK,Elementary School, 80.36 ,C,43.62,0.505,0.279,0.462,2.25,Proficient,478,10.6,94.8
