,School Name,Enrollment,Student-Teacher Ratio,Free-Reduced Lunch,DISTRICT
293,Hostos-Lincoln Academy Of Science,504,15.2,85.9%,7
294,Health Opportunities High School,495,15.9,85.7%,7
295,Alfred E Smith Career And Technical Education High School,461,12.7,93.3%,7
296,Junior High School 151 Lou Gehrig,254,12.6,98.8%,7
297,Ps 1 Courtlandt School,665,16.2,98.3%,7
298,Ps 5 Port Morris,719,13.5,95.7%,7
299,Ps 18 John Peter Zenger,598,12.4,97.8%,7
300,Ps 25 Bilingual School,533,12.6,94.9%,7
301,Ps/Middle School 29 Melrose School,788,12.7,92.8%,7
302,Ps 30 Wilton,553,13.1,91.7%,7
303,Ps/Middle School 31 William Lloyd Garrison (The),698,13.4,91.1%,7
304,Ps 43 Jonas Bronck,478,10.6,94.8%,7
305,Ps 49 Willis Avenue,660,10.9,97%,7
306,Ps 65 Mother Hale Academy,393,11.5,98%,7
307,Ps 154 Jonathan D Hyatt,370,10.8,97.8%,7
308,Ps 161 Juan Ponce De Leon School,519,12.9,95.8%,7
309,Ps 277,484,12.0,92.8%,7
310,Ps 179,329,11.3,96.7%,7
311,Community School For Social Justice,339,14.7,92%,7
312,Mott Haven Village Preparatory High School,354,12.2,92.7%,7
313,Bronx Leadership Academy II High School,506,13.2,95.5%,7
314,Urban Assembly Bronx Academy Of Letters (The),595,10.4,90.4%,7
315,Careers In Sports High School,504,13.2,88.9%,7
316,Ps/Is 224,358,12.7,98.9%,7
317,Laboratory School Of Finance And Technology (The): X223,685,13.7,97.4%,7
318,Ps 157 Grove Hill,646,11.5,96%,7
319,South Bronx Preparatory - A College Board School,661,13.2,97%,7
320,South Bronx Academy For Applied Media,249,10.8,93.2%,7
321,Academy Of Public Relations,248,11.2,91.1%,7
322,International Community High School,384,14.2,96.6%,7
323,Academy Of Applied Mathematics And Technology,301,15.0,96.3%,7
324,Jill Chaifetz Transfer High School,189,12.6,85.2%,7
325,Young Leaders Elementary School,264,10.5,97.7%,7
326,Bronx Haven High School,177,12.6,86.4%,7
327,Bronx Design And Construction Academy,490,12.2,83.1%,7
328,Mott Haven Community High School,231,15.4,83.1%,7
329,Concourse Village Elementary School,350,11.6,89.1%,7
330,Hero High School,487,14.3,83.4%,7
331,Is 584,279,12.1,97.5%,7
332,Herbert H Lehman High School,725,12.0,81%,8
333,Junior High School 131 Albert Einstein,454,12.2,84.8%,8
334,Ps 14 Senator John Calandra,548,14.0,67.9%,8
335,Ps 36 Unionport,759,13.7,78%,8
336,Ps 48 Joseph R Drake,696,11.9,93%,8
337,Ps 62 Inocensio Casanova,699,14.2,98.4%,8
338,Ps 69 Journey Prep School,609,14.1,88.5%,8
339,Ps 71 Rose E Scala,"1,647",14.5,73.3%,8
340,Ps 72 Dr William Dorney,832,12.6,86.8%,8
341,Ps 75 School Of Research And Discovery,626,14.2,90.3%,8
342,Ps 93 Albert G Oliver,341,11.3,73.9%,8
343,Ps 100 Isaac Clason,576,12.7,82.1%,8
344,Ps 107,515,14.3,99%,8
345,Dr Emmett W Bassett School (The),888,14.7,83%,8
346,Junior High School 123 James M Kiernan,352,10.6,87.8%,8
347,Ps 130 Abram Stevens Hewitt,496,12.7,86.3%,8
348,Ps 138 Samuel Randall,711,14.5,89.9%,8
349,Ps 140 Eagle School (The),635,13.2,92.3%,8
350,Ps 146 Edward Collins,405,13.5,97.8%,8
351,Ps 152 Evergreen,816,12.5,91.4%,8
352,Ps 182,875,14.3,85.3%,8
353,Longwood Preparatory Academy,205,9.3,89.8%,8
354,Middle School 101 Edward R Byrne,529,13.5,74.5%,8
355,Middle School 301 Paul L Dunbar,244,11.0,95.1%,8
356,Middle School 302 Luisa Dessus Cruz,481,13.3,94.4%,8
357,Ps 304 Early Childhood School,506,14.0,65.2%,8
358,Gotham Collaborative High School,551,10.9,86.6%,8
359,Bronx Studio School For Writers And Artists,644,13.4,85.4%,8
360,Women's Academy Of Excellence,276,13.1,93.1%,8
361,Millenium Art Academy,427,13.7,74%,8
362,Longwood Academy For Discovery (The),635,11.7,96.7%,8
363,School For Inquiry And Social Justice (The),523,14.5,80.3%,8
364,Renaissance High School For Musical Theater And The Arts,449,16.3,71.3%,8
365,Urban Institute Of Mathematics,349,15.1,78.2%,8
366,Bronx Community High School,147,10.5,81.6%,8
367,Antonia Pantoja Preparatory Academy - A College Board School,396,11.3,82.8%,8
368,Archimedes Academy-Math Sci Technical,690,13.4,83%,8
369,Bronx Mathematics Preparatory School (The),233,10.5,99.1%,8
370,Hunts Point School (The),302,11.6,95.7%,8
371,Soundview Academy For Culture And Scholarship,388,13.8,79.1%,8
